City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,prince rupert,54.3161,-130.3201,5.83,100,0,3.09,CA,1708417111
145,badger,64.8,-147.5333,-1.05,73,75,3.6,US,1708417111
146,camana,-16.6228,-72.7111,23.05,87,100,1.14,PE,1708417112
147,visby,57.6409,18.296,1.69,100,100,3.09,SE,1708416832
148,acapulco de juarez,16.8634,-99.8901,22.9,78,0,2.06,MX,1708417113
149,howard springs,-12.497,131.047,30.55,86,3,4.36,AU,1708417114
150,ennis,52.8436,-8.9864,11.96,87,75,5.66,IE,1708417114
151,opuwo,-18.0607,13.84,28.86,35,98,5.71,NA,1708417115
152,forbes,-33.3833,148.0167,28.29,40,38,5.96,AU,1708417116
153,kudat,6.8837,116.8477,29.96,74,20,4.12,MY,1708417041
154,mournies,35.4764,24.0092,16.57,82,40,2.06,GR,1708417118
155,rekhasim,32.75,35.1,15.82,74,20,3.6,IL,1708417118
156,st. john's,47.5649,-52.7093,-3.34,90,75,8.75,CA,1708417120
157,coyhaique,-45.5752,-72.0662,15.34,72,0,2.06,CL,1708417120
158,kodiak,57.79,-152.4072,5.73,87,100,7.72,US,1708417121
159,nema,57.5067,50.5011,-8.2,95,100,2.64,RU,1708417121
160,vila franca do campo,37.7167,-25.4333,18.27,99,80,3.36,PT,1708417122
161,lae,-6.7221,146.9847,29.37,89,100,1.96,PG,1708417123
162,celestun,20.8667,-90.4,18.11,79,0,3.18,MX,1708417123
163,westport,41.1415,-73.3579,-2.32,51,0,4.12,US,1708417124
164,sinabang,2.4803,96.3801,26.66,86,100,2.48,ID,1708417124
165,qusmuryn,52.4503,64.6311,-19.19,73,14,3.38,KZ,1708417125
166,aykhal,66.0,111.5,-19.33,94,100,1.58,RU,1708417126
167,masterton,-40.9597,175.6575,12.71,72,73,1.56,NZ,1708417126
168,nacala,-14.5428,40.6728,31.62,62,40,1.54,MZ,1708417047
169,minas de marcona,-15.2119,-75.1103,18.89,86,72,2.65,PE,1708417127
170,ipora,-16.4419,-51.1178,20.8,97,100,2.08,BR,1708417128
171,tolanaro,-25.0319,46.9987,27.74,54,0,5.99,MG,1708417129
172,fuglafjordur,62.244,-6.814,7.26,74,3,9.05,FO,1708417129
173,princeville,45.7668,-61.2985,-6.43,76,20,7.2,CA,1708417130
174,mountain home,43.133,-115.6912,5.79,89,75,7.72,US,1708417126
175,christchurch,-43.5333,172.6333,13.84,52,1,6.17,NZ,1708416681
176,avarua,-21.2078,-159.775,24.03,94,75,6.17,CK,1708417132
177,mbeya,-8.9,33.45,22.03,70,82,0.58,TZ,1708417132
178,faya-largeau,17.9257,19.1043,22.94,14,93,8.75,TD,1708417133
179,peniche,39.3558,-9.3811,11.98,98,0,2.7,PT,1708417133
180,scarborough,54.2797,-0.4044,7.73,87,100,4.02,GB,1708417134
181,rafsanjan,30.4067,55.9939,10.38,31,0,3.71,IR,1708417135
182,mata-utu,-13.2816,-176.1745,28.46,82,100,5.94,WF,1708417135
183,payyannur,12.1,75.2,32.6,48,2,5.15,IN,1708417136
184,lompoc,34.6391,-120.4579,13.77,88,0,3.6,US,1708416875
185,qaqortoq,60.7167,-46.0333,-2.01,67,100,4.1,GL,1708417137
186,las toscas,-28.3529,-59.258,21.11,76,0,2.34,AR,1708417138
187,pago pago,-14.2781,-170.7025,27.55,100,100,7.2,AS,1708417139
188,mitsamiouli,-11.3847,43.2844,29.28,74,25,4.02,KM,1708417140
189,plastun,44.7561,136.2939,-10.71,51,58,6.17,RU,1708417140
190,viqueque,-8.8673,126.3658,30.37,71,68,1.29,TL,1708417141
191,hammerfest,70.6634,23.6821,-4.75,63,75,2.06,NO,1708417141
192,anicuns,-16.4611,-49.9617,20.59,98,100,3.38,BR,1708417012
193,island harbour,50.724,-1.2758,9.4,94,100,2.24,GB,1708417143
194,belmonte,-15.8631,-38.8828,25.5,87,99,5.52,BR,1708417143
195,la'ie,21.6477,-157.9253,22.01,66,100,1.34,US,1708417144
196,galliano,29.4422,-90.2992,6.67,77,0,2.31,US,1708417101
197,codrington,-38.2667,141.9667,20.21,65,100,3.3,AU,1708417146
198,alto araguaia,-17.3147,-53.2153,19.95,98,100,1.74,BR,1708417146
199,winnemucca,40.973,-117.7357,4.03,60,40,4.63,US,1708417147
200,gadzhiyevo,69.2551,33.3362,-6.09,65,86,9.27,RU,1708417148
201,chardara,41.2547,67.9692,-0.21,78,95,2.0,KZ,1708417133
202,angaur state,6.906,134.13,27.77,80,15,6.33,PW,1708417149
203,kiffa,16.6166,-11.4045,19.42,24,0,6.33,MR,1708417150
204,cururupu,-1.8283,-44.8683,23.46,95,99,1.85,BR,1708417150
205,vadso,70.0744,29.7487,-7.51,73,20,8.75,NO,1708417152
206,tura,25.5198,90.2201,27.69,33,0,3.37,IN,1708417152
207,sam roi yot,12.2708,99.872,33.31,54,74,7.02,TH,1708416979
208,utrik,11.2278,169.8474,26.92,86,64,6.66,MH,1708417153
209,chonchi,-42.6128,-73.8092,13.56,98,93,1.3,CL,1708417154
210,san mateo ixtatan,15.8319,-91.4781,4.92,91,20,1.76,GT,1708417155
211,ramapuram,13.1167,79.2,33.15,28,0,3.25,IN,1708417155
212,palembang,-2.9167,104.7458,31.79,65,97,1.56,ID,1708417156
213,kawambwa,-9.7915,29.0791,20.84,85,100,1.3,ZM,1708417157
214,san patricio,28.017,-97.5169,14.91,93,0,2.74,US,1708417157
215,pimentel,-6.8367,-79.9342,25.16,73,100,3.6,PE,1708417158
216,vorgashor,67.5833,63.95,-8.67,93,100,10.43,RU,1708417159
217,puerto madero,14.7208,-92.4215,25.45,74,0,2.36,MX,1708417160
218,newport,51.5877,-2.9984,10.13,95,100,5.54,GB,1708416874
219,nemuro,43.3236,145.575,-2.59,66,99,10.94,JP,1708417161
220,bereeda,11.8704,51.0579,27.59,55,43,5.08,SO,1708417161
221,utete,-7.986,38.758,29.06,83,97,1.63,TZ,1708417162
222,fremantle,-32.05,115.7667,41.05,20,100,5.66,AU,1708417048
223,isafjordur,66.0755,-23.124,3.02,70,75,4.12,IS,1708417163
224,mana,5.6592,-53.7767,24.5,84,100,4.67,GF,1708417164
225,palikir - national government center,6.9248,158.1611,27.41,83,100,4.63,FM,1708417165
226,sabang,5.8933,95.3214,28.13,76,52,4.09,ID,1708417165
227,whitehorse,60.7161,-135.0538,-4.57,86,0,0.0,CA,1708417166
228,klaksvik,62.2266,-6.589,7.51,73,3,9.99,FO,1708417167
229,jamestown,42.097,-79.2353,-3.49,89,98,0.89,US,1708417106
230,piedras negras,28.7,-100.5167,12.93,72,0,3.46,MX,1708417168
231,punta arenas,-53.15,-70.9167,11.06,82,100,11.32,CL,1708417169
232,green river,41.5286,-109.4662,-1.01,96,100,2.8,US,1708417169
233,okha,53.5739,142.9478,-26.85,77,6,8.55,RU,1708417170
234,lukolela,-1.0605,17.1821,28.64,66,96,1.9,CD,1708417170
235,quarai,-30.3875,-56.4514,20.3,89,0,3.26,BR,1708417171
236,vorkuta,67.5,64.0,-8.29,94,100,10.36,RU,1708417049
237,uray,60.1247,64.7758,-9.51,89,96,4.92,RU,1708417178
238,pandan,14.0453,124.1694,26.88,76,61,6.32,PH,1708417178
